Esn,Country,Localized Device Description,Device Description,Ip,Region Code Display Name,Ts
NFAPPL-04-APPLETV5=3-7EDA992BF38D7EE594596C3D81F7E44FF2869530F10AEB2D6ED8843660E6387C,IN,Apple Apple TV 4 Apple TV,Apple Apple TV 4 Apple TV,122.161.89.188,Haryana,2022-01-05T07:27:50.472Z
NFCDFF-02-HA2GGENUPV53DE583L208VM8ALATD7,IN,Firefox PC (Cadmium),Firefox PC (Cadmium),122.161.89.188,Haryana,2022-01-05T05:31:43.373Z
NFANDROID2-PRV-FIRETVSTICK2016-AMAZOAFTT-6590-3DEF532568F73B36494FDFFC55DA42D8BFCBE15CC634E45787C9F6D4A6C33F61,IN,FireTV Stick 2016,FireTV Stick 2016,103.86.19.147,Gujarat,2022-01-04T16:01:16.685Z
NFAPPL-02-IPHONE10=1-534FC20EE11058A98544932A5A2580D41DAE48CB286D19DD40030655BB0D9C3F,IN,Apple iPhone 8 (CDMA),Apple iPhone 8 (CDMA),122.161.89.188,Haryana,2022-01-04T15:48:41.674Z
NFANDROID2-PRV-FIRETVSTICK2018-AMAZOAFTMM-8415-0FD838B22BB8FFB1183EFA493FAB79E8313FE948B3969815B0D8FB740874BDF9,IN,FireTV 4K Stick 2018,FireTV 4K Stick 2018,122.161.89.188,Haryana,2022-01-04T12:56:21.039Z
NFCDIE-03-H77QT5Q081CQC3K716PTYKN91EY4WE,IN,Edge OSS - Windows (Cadmium),Edge OSS - Windows (Cadmium),122.161.89.188,Haryana,2022-01-04T10:47:52.593Z
NFANDROID2-PRV-FIRETVSTICK2016-AMAZOAFTT-6590-3DEF532568F73B36494FDFFC55DA42D8BFCBE15CC634E45787C9F6D4A6C33F61,IN,FireTV Stick 2016,FireTV Stick 2016,103.86.19.147,Gujarat,2022-01-03T11:51:04.102Z
NFCDIE-03-H77QT5Q081CQC3K716PTYKN91EY4WE,IN,Edge OSS - Windows (Cadmium),Edge OSS - Windows (Cadmium),122.161.89.188,Haryana,2022-01-03T10:13:42.902Z
NFAPPL-04-APPLETV5=3-7EDA992BF38D7EE594596C3D81F7E44FF2869530F10AEB2D6ED8843660E6387C,IN,Apple Apple TV 4 Apple TV,Apple Apple TV 4 Apple TV,122.161.89.188,Haryana,2022-01-03T08:33:10.265Z
NFCDFF-02-HA2GGENUPV53DE583L208VM8ALATD7,IN,Firefox PC (Cadmium),Firefox PC (Cadmium),122.161.89.188,Haryana,2022-01-03T08:31:56.280Z
NFANDROID2-PRV-FIRETVSTICK2018-AMAZOAFTMM-8415-0FD838B22BB8FFB1183EFA493FAB79E8313FE948B3969815B0D8FB740874BDF9,IN,FireTV 4K Stick 2018,FireTV 4K Stick 2018,122.161.89.188,Haryana,2022-01-03T05:03:46.042Z
NFANDROID1-PRV-P-SAMSUSM-A528B-23364-0E0BBE361ED63F80B0F300BA684CE1492E0D4702005CD99113D6DB4FD02FA2E8E,IN,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,122.161.89.188,Haryana,2022-01-03T04:48:08.771Z
NFAPPL-04-APPLETV5=3-7EDA992BF38D7EE594596C3D81F7E44FF2869530F10AEB2D6ED8843660E6387C,IN,Apple Apple TV 4 Apple TV,Apple Apple TV 4 Apple TV,223.190.94.224,Haryana,2022-01-02T15:48:14.079Z
NFCDFF-02-HA2GGENUPV53DE583L208VM8ALATD7,IN,Firefox PC (Cadmium),Firefox PC (Cadmium),223.190.94.224,Haryana,2022-01-02T14:01:04.739Z
NFANDROID2-PRV-FIRETVSTICK2018-AMAZOAFTMM-8415-0FD838B22BB8FFB1183EFA493FAB79E8313FE948B3969815B0D8FB740874BDF9,IN,FireTV 4K Stick 2018,FireTV 4K Stick 2018,223.190.94.224,Haryana,2022-01-02T13:49:15.417Z
NFAPPL-02-IPHONE12=1-6C0BAABB7A68B6577F2B099D546FD072612A08719232188F39EADB5F2BEE37B7,IN,Apple iPhone 11,Apple iPhone 11,110.225.86.149,Uttar Pradesh,2022-01-02T10:48:56.458Z
NFCDIE-03-H77QT5Q081CQC3K716PTYKN91EY4WE,IN,Edge OSS - Windows (Cadmium),Edge OSS - Windows (Cadmium),223.190.94.224,Haryana,2022-01-02T09:04:47.645Z
NFAPPL-02-IPHONE14=2-4565BDFCC0E6AA3151E0209A980FA7A756F8999FE5F351E1053D0E810CD91581,IN,Apple iPhone 13 Pro,Apple iPhone 13 Pro,223.190.94.224,Haryana,2022-01-02T08:12:40.586Z
NFAPPL-02-IPHONE10=1-534FC20EE11058A98544932A5A2580D41DAE48CB286D19DD40030655BB0D9C3F,IN,Apple iPhone 8 (CDMA),Apple iPhone 8 (CDMA),223.190.94.224,Haryana,2022-01-02T06:41:46.767Z
NFANDROID2-PRV-FIRETVSTICK2016-AMAZOAFTT-6590-3DEF532568F73B36494FDFFC55DA42D8BFCBE15CC634E45787C9F6D4A6C33F61,IN,FireTV Stick 2016,FireTV Stick 2016,43.250.157.118,Gujarat,2022-01-01T16:35:12.550Z
NFANDROID2-PRV-FIRETVSTICK2016-AMAZOAFTT-6590-3DEF532568F73B36494FDFFC55DA42D8BFCBE15CC634E45787C9F6D4A6C33F61,IN,FireTV Stick 2016,FireTV Stick 2016,103.249.234.188,Gujarat,2022-01-01T11:20:30.489Z
NFANDROID1-PRV-P-L3-SAMSUSM-M115F-22589-07AAFCCF9A1EE688C7B84323B9BA7CD621794DE84DA881A2DF3EF3BD209D13359,IN,Android DefaultWidevineL3Phone Android Phone,Android DefaultWidevineL3Phone Android Phone,103.249.234.188,Gujarat,2022-01-01T10:56:11.221Z
NFANDROID2-PRV-FIRETVSTICK2016-AMAZOAFTT-6590-3DEF532568F73B36494FDFFC55DA42D8BFCBE15CC634E45787C9F6D4A6C33F61,IN,FireTV Stick 2016,FireTV Stick 2016,103.249.234.188,Gujarat,2021-12-31T16:14:51.766Z
NFAPPL-02-IPHONE10=1-534FC20EE11058A98544932A5A2580D41DAE48CB286D19DD40030655BB0D9C3F,IN,Apple iPhone 8 (CDMA),Apple iPhone 8 (CDMA),2401:4900:2e94:5055:15c8:a86f:5dd:3e4f,Delhi,2021-12-31T14:55:18.897Z
NFAPPL-02-IPHONE10=1-534FC20EE11058A98544932A5A2580D41DAE48CB286D19DD40030655BB0D9C3F,IN,Apple iPhone 8 (CDMA),Apple iPhone 8 (CDMA),223.180.195.125,Haryana,2021-12-31T14:39:20.833Z
NFANDROID1-PRV-P-L3-SAMSUSM-M115F-22589-07AAFCCF9A1EE688C7B84323B9BA7CD621794DE84DA881A2DF3EF3BD209D13359,IN,Android DefaultWidevineL3Phone Android Phone,Android DefaultWidevineL3Phone Android Phone,103.249.234.188,Gujarat,2021-12-31T10:02:36.099Z
NFANDROID1-PRV-P-L3-SAMSUSM-M115F-22589-07AAFCCF9A1EE688C7B84323B9BA7CD621794DE84DA881A2DF3EF3BD209D13359,IN,Android DefaultWidevineL3Phone Android Phone,Android DefaultWidevineL3Phone Android Phone,103.249.233.210,Gujarat,2021-12-30T18:19:47.214Z
NFANDROID2-PRV-FIRETVSTICK2016-AMAZOAFTT-6590-3DEF532568F73B36494FDFFC55DA42D8BFCBE15CC634E45787C9F6D4A6C33F61,IN,FireTV Stick 2016,FireTV Stick 2016,103.249.233.210,Gujarat,2021-12-30T14:58:12.744Z
NFANDROID1-PRV-P-L3-SAMSUSM-A505F-22589-0F90CB59241E3C80559F64919887DFDDD1D0D0DFDFA54C19ABED7C2B36FEFDFC2,IN,Android DefaultWidevineL3Phone Android Phone,Android DefaultWidevineL3Phone Android Phone,2401:4900:47f8:40c8:0:1a:8d1e:4401,Uttar Pradesh,2021-12-30T05:18:24.991Z
NFANDROID1-PRV-P-L3-SAMSUSM-A505F-22589-0F90CB59241E3C80559F64919887DFDDD1D0D0DFDFA54C19ABED7C2B36FEFDFC2,IN,Android DefaultWidevineL3Phone Android Phone,Android DefaultWidevineL3Phone Android Phone,223.190.94.224,Haryana,2021-12-29T03:32:45.422Z
NFAPPL-04-APPLETV5=3-7EDA992BF38D7EE594596C3D81F7E44FF2869530F10AEB2D6ED8843660E6387C,IN,Apple Apple TV 4 Apple TV,Apple Apple TV 4 Apple TV,223.190.94.224,Haryana,2021-12-28T07:52:39.463Z
NFANDROID1-PRV-P-L3-SAMSUSM-A505F-22589-0F90CB59241E3C80559F64919887DFDDD1D0D0DFDFA54C19ABED7C2B36FEFDFC2,IN,Android DefaultWidevineL3Phone Android Phone,Android DefaultWidevineL3Phone Android Phone,223.190.94.224,Haryana,2021-12-28T03:59:20.282Z
NFAPPL-02-IPHONE10=1-534FC20EE11058A98544932A5A2580D41DAE48CB286D19DD40030655BB0D9C3F,IN,Apple iPhone 8 (CDMA),Apple iPhone 8 (CDMA),223.190.94.224,Haryana,2021-12-27T19:26:12.415Z
NFANDROID2-PRV-FIRETVSTICK2018-AMAZOAFTMM-8415-0FD838B22BB8FFB1183EFA493FAB79E8313FE948B3969815B0D8FB740874BDF9,IN,FireTV 4K Stick 2018,FireTV 4K Stick 2018,223.190.94.224,Haryana,2021-12-27T07:27:38.800Z
NFCDFF-02-HA2GGENUPV53DE583L208VM8ALATD7,IN,Firefox PC (Cadmium),Firefox PC (Cadmium),223.190.94.224,Haryana,2021-12-27T05:34:48.376Z
NFCDIE-03-H77QT5Q081CQC3K716PTYKN91EY4WE,IN,Edge OSS - Windows (Cadmium),Edge OSS - Windows (Cadmium),223.190.94.224,Haryana,2021-12-27T04:21:40.465Z
NFANDROID1-PRV-P-L3-SAMSUSM-M115F-22589-07AAFCCF9A1EE688C7B84323B9BA7CD621794DE84DA881A2DF3EF3BD209D13359,IN,Android DefaultWidevineL3Phone Android Phone,Android DefaultWidevineL3Phone Android Phone,103.249.233.210,Gujarat,2021-12-26T18:28:10.420Z
NFANDROID1-PRV-P-L3-SAMSUSM-A505F-22589-0F90CB59241E3C80559F64919887DFDDD1D0D0DFDFA54C19ABED7C2B36FEFDFC2,IN,Android DefaultWidevineL3Phone Android Phone,Android DefaultWidevineL3Phone Android Phone,223.190.90.55,Haryana,2021-12-26T15:32:18.619Z
NFANDROID2-PRV-FIRETVSTICK2018-AMAZOAFTMM-8415-0FD838B22BB8FFB1183EFA493FAB79E8313FE948B3969815B0D8FB740874BDF9,IN,FireTV 4K Stick 2018,FireTV 4K Stick 2018,223.190.90.55,Haryana,2021-12-26T13:05:48.086Z
NFAPPL-02-IPHONE12=1-6C0BAABB7A68B6577F2B099D546FD072612A08719232188F39EADB5F2BEE37B7,IN,Apple iPhone 11,Apple iPhone 11,2401:4900:2e97:478a:6c2a:abf:8b6e:f0f,Delhi,2021-12-26T10:27:48.973Z
NFCDIE-03-H77QT5Q081CQC3K716PTYKN91EY4WE,IN,Edge OSS - Windows (Cadmium),Edge OSS - Windows (Cadmium),223.190.90.55,Haryana,2021-12-26T09:14:54.298Z
NFAPPL-02-IPHONE10=1-534FC20EE11058A98544932A5A2580D41DAE48CB286D19DD40030655BB0D9C3F,IN,Apple iPhone 8 (CDMA),Apple iPhone 8 (CDMA),223.190.90.55,Haryana,2021-12-26T03:53:27.520Z
NFAPPL-02-IPHONE10=1-534FC20EE11058A98544932A5A2580D41DAE48CB286D19DD40030655BB0D9C3F,IN,Apple iPhone 8 (CDMA),Apple iPhone 8 (CDMA),223.190.90.55,Haryana,2021-12-25T19:24:24.357Z
NFAPPL-04-APPLETV5=3-7EDA992BF38D7EE594596C3D81F7E44FF2869530F10AEB2D6ED8843660E6387C,IN,Apple Apple TV 4 Apple TV,Apple Apple TV 4 Apple TV,223.190.90.55,Haryana,2021-12-25T16:08:19.807Z
NFANDROID2-PRV-FIRETVSTICK2016-AMAZOAFTT-6590-3DEF532568F73B36494FDFFC55DA42D8BFCBE15CC634E45787C9F6D4A6C33F61,IN,FireTV Stick 2016,FireTV Stick 2016,103.249.233.210,Gujarat,2021-12-25T15:45:52.807Z
NFANDROID1-PRV-P-L3-SAMSUSM-A505F-22589-0F90CB59241E3C80559F64919887DFDDD1D0D0DFDFA54C19ABED7C2B36FEFDFC2,IN,Android DefaultWidevineL3Phone Android Phone,Android DefaultWidevineL3Phone Android Phone,223.190.90.55,Haryana,2021-12-25T12:09:45.948Z
NFANDROID1-PRV-P-L3-SAMSUSM-M115F-22589-07AAFCCF9A1EE688C7B84323B9BA7CD621794DE84DA881A2DF3EF3BD209D13359,IN,Android DefaultWidevineL3Phone Android Phone,Android DefaultWidevineL3Phone Android Phone,103.250.139.46,Gujarat,2021-12-25T09:49:57.695Z
NFCDIE-03-H77QT5Q081CQC3K716PTYKN91EY4WE,IN,Edge OSS - Windows (Cadmium),Edge OSS - Windows (Cadmium),223.190.90.55,Haryana,2021-12-25T09:00:30.943Z
NFAPPL-02-IPHONE10=1-534FC20EE11058A98544932A5A2580D41DAE48CB286D19DD40030655BB0D9C3F,IN,Apple iPhone 8 (CDMA),Apple iPhone 8 (CDMA),2401:4900:2e8a:3024:e9b0:f108:d359:a96b,Delhi,2021-12-25T08:54:32.190Z
NFAPPL-02-IPHONE10=1-534FC20EE11058A98544932A5A2580D41DAE48CB286D19DD40030655BB0D9C3F,IN,Apple iPhone 8 (CDMA),Apple iPhone 8 (CDMA),2401:4900:2e8a:3024:a154:4144:47ac:d817,Delhi,2021-12-25T08:35:20.586Z
NFANDROID1-PRV-P-L3-SAMSUSM-A505F-22589-0F90CB59241E3C80559F64919887DFDDD1D0D0DFDFA54C19ABED7C2B36FEFDFC2,IN,Android DefaultWidevineL3Phone Android Phone,Android DefaultWidevineL3Phone Android Phone,2401:4900:1983:67c9:1:2:a7d2:4c0b,Maharashtra,2021-12-25T05:45:41.127Z
NFANDROID1-PRV-P-L3-SAMSUSM-A505F-22589-0F90CB59241E3C80559F64919887DFDDD1D0D0DFDFA54C19ABED7C2B36FEFDFC2,IN,Android DefaultWidevineL3Phone Android Phone,Android DefaultWidevineL3Phone Android Phone,1.186.229.99,Maharashtra,2021-12-24T17:15:30.106Z
NFANDROID2-PRV-FIRETVSTICK2018-AMAZOAFTMM-8415-0FD838B22BB8FFB1183EFA493FAB79E8313FE948B3969815B0D8FB740874BDF9,IN,FireTV 4K Stick 2018,FireTV 4K Stick 2018,223.190.90.55,Haryana,2021-12-24T14:13:32.763Z
NFANDROID2-PRV-FIRETVSTICK2016-AMAZOAFTT-6590-3DEF532568F73B36494FDFFC55DA42D8BFCBE15CC634E45787C9F6D4A6C33F61,IN,FireTV Stick 2016,FireTV Stick 2016,43.241.144.105,Gujarat,2021-12-24T08:16:04.019Z
NFCDFF-02-HA2GGENUPV53DE583L208VM8ALATD7,IN,Firefox PC (Cadmium),Firefox PC (Cadmium),1.186.229.103,Maharashtra,2021-12-24T07:32:46.589Z
NFCDIE-03-H77QT5Q081CQC3K716PTYKN91EY4WE,IN,Edge OSS - Windows (Cadmium),Edge OSS - Windows (Cadmium),223.190.85.89,Haryana,2021-12-23T15:13:40.691Z
NFANDROID2-PRV-FIRETVSTICK2018-AMAZOAFTMM-8415-0FD838B22BB8FFB1183EFA493FAB79E8313FE948B3969815B0D8FB740874BDF9,IN,FireTV 4K Stick 2018,FireTV 4K Stick 2018,223.190.85.89,Haryana,2021-12-23T14:59:15.282Z
NFCDFF-02-HA2GGENUPV53DE583L208VM8ALATD7,IN,Firefox PC (Cadmium),Firefox PC (Cadmium),1.186.229.127,Maharashtra,2021-12-23T12:45:40.927Z
NFAPPL-02-IPHONE12=1-6C0BAABB7A68B6577F2B099D546FD072612A08719232188F39EADB5F2BEE37B7,IN,Apple iPhone 11,Apple iPhone 11,2401:4900:b8e:e9e:c5bb:85ab:95f5:c61a,Delhi,2021-12-23T11:19:19.915Z
NFAPPL-02-IPHONE12=1-6C0BAABB7A68B6577F2B099D546FD072612A08719232188F39EADB5F2BEE37B7,IN,Apple iPhone 11,Apple iPhone 11,223.190.85.89,Haryana,2021-12-23T10:15:54.419Z
NFAPPL-02-IPHONE12=1-6C0BAABB7A68B6577F2B099D546FD072612A08719232188F39EADB5F2BEE37B7,IN,Apple iPhone 11,Apple iPhone 11,2401:4900:b8e:e9e:c5bb:85ab:95f5:c61a,Delhi,2021-12-23T10:14:28.559Z
NFAPPL-02-IPHONE10=1-534FC20EE11058A98544932A5A2580D41DAE48CB286D19DD40030655BB0D9C3F,IN,Apple iPhone 8 (CDMA),Apple iPhone 8 (CDMA),2401:4900:c00:904c:c068:e4b7:af66:6e79,Delhi,2021-12-23T03:26:45.359Z
NFAPPL-02-IPHONE10=1-534FC20EE11058A98544932A5A2580D41DAE48CB286D19DD40030655BB0D9C3F,IN,Apple iPhone 8 (CDMA),Apple iPhone 8 (CDMA),223.190.85.89,Haryana,2021-12-23T02:55:27.799Z
NFAPPL-02-IPHONE14=2-4565BDFCC0E6AA3151E0209A980FA7A756F8999FE5F351E1053D0E810CD91581,IN,Apple iPhone 13 Pro,Apple iPhone 13 Pro,2401:4900:30ea:5542:5420:5121:de96:6935,Delhi,2021-12-22T17:50:37.007Z
NFAPPL-04-APPLETV5=3-7EDA992BF38D7EE594596C3D81F7E44FF2869530F10AEB2D6ED8843660E6387C,IN,Apple Apple TV 4 Apple TV,Apple Apple TV 4 Apple TV,223.190.85.89,Haryana,2021-12-22T15:16:10.091Z
NFANDROID2-PRV-FIRETVSTICK2016-AMAZOAFTT-6590-3DEF532568F73B36494FDFFC55DA42D8BFCBE15CC634E45787C9F6D4A6C33F61,IN,FireTV Stick 2016,FireTV Stick 2016,43.241.144.105,Gujarat,2021-12-22T08:48:16.002Z
NFAPPL-02-IPHONE12=1-6C0BAABB7A68B6577F2B099D546FD072612A08719232188F39EADB5F2BEE37B7,IN,Apple iPhone 11,Apple iPhone 11,223.190.85.89,Haryana,2021-12-21T19:12:15.965Z
NFANDROID2-PRV-FIRETVSTICK2016-AMAZOAFTT-6590-3DEF532568F73B36494FDFFC55DA42D8BFCBE15CC634E45787C9F6D4A6C33F61,IN,FireTV Stick 2016,FireTV Stick 2016,43.242.116.164,Gujarat,2021-12-21T13:56:40.508Z
NFANDROID2-PRV-FIRETVSTICK2016-AMAZOAFTT-6590-3DEF532568F73B36494FDFFC55DA42D8BFCBE15CC634E45787C9F6D4A6C33F61,IN,FireTV Stick 2016,FireTV Stick 2016,43.242.116.164,Gujarat,2021-12-21T07:50:59.083Z
NFAPPL-02-IPHONE14=2-4565BDFCC0E6AA3151E0209A980FA7A756F8999FE5F351E1053D0E810CD91581,IN,Apple iPhone 13 Pro,Apple iPhone 13 Pro,223.190.85.89,Haryana,2021-12-20T17:58:11.170Z
NFANDROID2-PRV-FIRETVSTICK2016-AMAZOAFTT-6590-3DEF532568F73B36494FDFFC55DA42D8BFCBE15CC634E45787C9F6D4A6C33F61,IN,FireTV Stick 2016,FireTV Stick 2016,103.240.170.51,Gujarat,2021-12-20T15:31:16.755Z
NFANDROID2-PRV-FIRETVSTICK2016-AMAZOAFTT-6590-3DEF532568F73B36494FDFFC55DA42D8BFCBE15CC634E45787C9F6D4A6C33F61,IN,FireTV Stick 2016,FireTV Stick 2016,103.250.137.185,Gujarat,2021-12-19T15:54:48.911Z
NFAPPL-04-APPLETV5=3-7EDA992BF38D7EE594596C3D81F7E44FF2869530F10AEB2D6ED8843660E6387C,IN,Apple Apple TV 4 Apple TV,Apple Apple TV 4 Apple TV,223.190.85.89,Haryana,2021-12-19T09:01:41.057Z
NFANDROID2-PRV-FIRETVSTICK2016-AMAZOAFTT-6590-3DEF532568F73B36494FDFFC55DA42D8BFCBE15CC634E45787C9F6D4A6C33F61,IN,FireTV Stick 2016,FireTV Stick 2016,103.250.137.185,Gujarat,2021-12-19T09:01:14.176Z
NFCDIE-03-H77QT5Q081CQC3K716PTYKN91EY4WE,IN,Edge OSS - Windows (Cadmium),Edge OSS - Windows (Cadmium),223.190.85.89,Haryana,2021-12-19T08:03:17.268Z
NFAPPL-02-IPHONE10=1-534FC20EE11058A98544932A5A2580D41DAE48CB286D19DD40030655BB0D9C3F,IN,Apple iPhone 8 (CDMA),Apple iPhone 8 (CDMA),223.190.85.89,Haryana,2021-12-19T07:37:33.754Z
NFANDROID2-PRV-FIRETVSTICK2018-AMAZOAFTMM-8415-0FD838B22BB8FFB1183EFA493FAB79E8313FE948B3969815B0D8FB740874BDF9,IN,FireTV 4K Stick 2018,FireTV 4K Stick 2018,223.190.85.89,Haryana,2021-12-19T04:48:46.106Z
NFAPPL-02-IPHONE10=1-534FC20EE11058A98544932A5A2580D41DAE48CB286D19DD40030655BB0D9C3F,IN,Apple iPhone 8 (CDMA),Apple iPhone 8 (CDMA),223.190.95.34,Haryana,2021-12-18T18:52:37.508Z
NFCDIE-03-H77QT5Q081CQC3K716PTYKN91EY4WE,IN,Edge OSS - Windows (Cadmium),Edge OSS - Windows (Cadmium),223.190.95.34,Haryana,2021-12-18T16:40:10.708Z
NFANDROID2-PRV-FIRETVSTICK2016-AMAZOAFTT-6590-3DEF532568F73B36494FDFFC55DA42D8BFCBE15CC634E45787C9F6D4A6C33F61,IN,FireTV Stick 2016,FireTV Stick 2016,103.249.234.83,Gujarat,2021-12-18T16:04:08.350Z
NFANDROID2-PRV-FIRETVSTICK2018-AMAZOAFTMM-8415-0FD838B22BB8FFB1183EFA493FAB79E8313FE948B3969815B0D8FB740874BDF9,IN,FireTV 4K Stick 2018,FireTV 4K Stick 2018,223.190.95.34,Haryana,2021-12-18T13:46:50.508Z
NFCDIE-03-H77QT5Q081CQC3K716PTYKN91EY4WE,IN,Edge OSS - Windows (Cadmium),Edge OSS - Windows (Cadmium),223.190.95.34,Haryana,2021-12-18T08:11:04.727Z
NFANDROID2-PRV-FIRETVSTICK2018-AMAZOAFTMM-8415-0FD838B22BB8FFB1183EFA493FAB79E8313FE948B3969815B0D8FB740874BDF9,IN,FireTV 4K Stick 2018,FireTV 4K Stick 2018,223.190.95.34,Haryana,2021-12-18T07:39:42.052Z
NFAPPL-02-IPHONE14=2-4565BDFCC0E6AA3151E0209A980FA7A756F8999FE5F351E1053D0E810CD91581,IN,Apple iPhone 13 Pro,Apple iPhone 13 Pro,2401:4900:4463:2735:4001:ba4a:ce6a:c6f1,Delhi,2021-12-18T06:45:19.109Z
NFCDIE-03-H77QT5Q081CQC3K716PTYKN91EY4WE,IN,Edge OSS - Windows (Cadmium),Edge OSS - Windows (Cadmium),223.190.95.5,Haryana,2021-12-18T05:08:57.342Z
NFANDROID2-PRV-FIRETVSTICK2018-AMAZOAFTMM-8415-0FD838B22BB8FFB1183EFA493FAB79E8313FE948B3969815B0D8FB740874BDF9,IN,FireTV 4K Stick 2018,FireTV 4K Stick 2018,223.190.95.5,Haryana,2021-12-18T03:04:50.239Z
NFANDROID1-PRV-P-L3-SAMSUSM-M115F-22589-07AAFCCF9A1EE688C7B84323B9BA7CD621794DE84DA881A2DF3EF3BD209D13359,IN,Android DefaultWidevineL3Phone Android Phone,Android DefaultWidevineL3Phone Android Phone,103.249.234.83,Gujarat,2021-12-17T10:37:30.926Z
NFAPPL-02-IPHONE10=1-534FC20EE11058A98544932A5A2580D41DAE48CB286D19DD40030655BB0D9C3F,IN,Apple iPhone 8 (CDMA),Apple iPhone 8 (CDMA),223.190.95.5,Haryana,2021-12-16T16:35:24.495Z
NFANDROID2-PRV-FIRETVSTICK2016-AMAZOAFTT-6590-3DEF532568F73B36494FDFFC55DA42D8BFCBE15CC634E45787C9F6D4A6C33F61,IN,FireTV Stick 2016,FireTV Stick 2016,103.249.234.83,Gujarat,2021-12-16T15:54:04.771Z
NFANDROID2-PRV-FIRETVSTICK2016-AMAZOAFTT-6590-3DEF532568F73B36494FDFFC55DA42D8BFCBE15CC634E45787C9F6D4A6C33F61,IN,FireTV Stick 2016,FireTV Stick 2016,103.240.204.235,Gujarat,2021-12-15T15:29:13.151Z
NFCDIE-03-H77QT5Q081CQC3K716PTYKN91EY4WE,IN,Edge OSS - Windows (Cadmium),Edge OSS - Windows (Cadmium),223.190.95.5,Haryana,2021-12-15T08:56:05.474Z
NFANDROID2-PRV-FIRETVSTICK2018-AMAZOAFTMM-8415-0FD838B22BB8FFB1183EFA493FAB79E8313FE948B3969815B0D8FB740874BDF9,IN,FireTV 4K Stick 2018,FireTV 4K Stick 2018,223.190.95.5,Haryana,2021-12-15T04:21:21.870Z
NFCDIE-03-H77QT5Q081CQC3K716PTYKN91EY4WE,IN,Edge OSS - Windows (Cadmium),Edge OSS - Windows (Cadmium),223.190.84.105,Haryana,2021-12-14T15:45:24.041Z
NFANDROID2-PRV-FIRETVSTICK2018-AMAZOAFTMM-8415-0FD838B22BB8FFB1183EFA493FAB79E8313FE948B3969815B0D8FB740874BDF9,IN,FireTV 4K Stick 2018,FireTV 4K Stick 2018,223.190.84.105,Haryana,2021-12-14T12:57:21.583Z
NFANDROID2-PRV-FIRETVSTICK2016-AMAZOAFTT-6590-3DEF532568F73B36494FDFFC55DA42D8BFCBE15CC634E45787C9F6D4A6C33F61,IN,FireTV Stick 2016,FireTV Stick 2016,103.240.204.235,Gujarat,2021-12-14T08:04:05.117Z
NFAPPL-02-IPHONE10=1-534FC20EE11058A98544932A5A2580D41DAE48CB286D19DD40030655BB0D9C3F,IN,Apple iPhone 8 (CDMA),Apple iPhone 8 (CDMA),223.190.84.105,Haryana,2021-12-13T18:13:38.167Z
NFAPPL-04-APPLETV5=3-7EDA992BF38D7EE594596C3D81F7E44FF2869530F10AEB2D6ED8843660E6387C,IN,Apple Apple TV 4 Apple TV,Apple Apple TV 4 Apple TV,223.190.84.105,Haryana,2021-12-13T15:28:53.010Z
NFAPPL-02-IPHONE14=2-4565BDFCC0E6AA3151E0209A980FA7A756F8999FE5F351E1053D0E810CD91581,IN,Apple iPhone 13 Pro,Apple iPhone 13 Pro,223.190.84.105,Haryana,2021-12-12T18:02:01.384Z
NFCDIE-03-H77QT5Q081CQC3K716PTYKN91EY4WE,IN,Edge OSS - Windows (Cadmium),Edge OSS - Windows (Cadmium),223.190.84.105,Haryana,2021-12-12T17:42:27.421Z
NFANDROID2-PRV-FIRETVSTICK2016-AMAZOAFTT-6590-3DEF532568F73B36494FDFFC55DA42D8BFCBE15CC634E45787C9F6D4A6C33F61,IN,FireTV Stick 2016,FireTV Stick 2016,103.240.169.123,Gujarat,2021-12-12T15:58:55.583Z
NFAPPL-02-IPHONE14=2-4565BDFCC0E6AA3151E0209A980FA7A756F8999FE5F351E1053D0E810CD91581,IN,Apple iPhone 13 Pro,Apple iPhone 13 Pro,223.190.84.105,Haryana,2021-12-12T01:10:29.125Z
NFANDROID2-PRV-FIRETVSTICK2016-AMAZOAFTT-6590-3DEF532568F73B36494FDFFC55DA42D8BFCBE15CC634E45787C9F6D4A6C33F61,IN,FireTV Stick 2016,FireTV Stick 2016,103.240.170.113,Gujarat,2021-12-11T14:43:09.978Z
NFANDROID2-PRV-FIRETVSTICK2016-AMAZOAFTT-6590-3DEF532568F73B36494FDFFC55DA42D8BFCBE15CC634E45787C9F6D4A6C33F61,IN,FireTV Stick 2016,FireTV Stick 2016,103.240.170.113,Gujarat,2021-12-11T08:15:36.572Z
NFANDROID1-PRV-P-L3-SAMSUSM-A505F-22589-0F90CB59241E3C80559F64919887DFDDD1D0D0DFDFA54C19ABED7C2B36FEFDFC2,IN,Android DefaultWidevineL3Phone Android Phone,Android DefaultWidevineL3Phone Android Phone,106.193.224.102,Maharashtra,2021-12-11T07:40:40.767Z
NFANDROID1-PRV-P-L3-SAMSUSM-A505F-22589-0F90CB59241E3C80559F64919887DFDDD1D0D0DFDFA54C19ABED7C2B36FEFDFC2,IN,Android DefaultWidevineL3Phone Android Phone,Android DefaultWidevineL3Phone Android Phone,2401:4900:198b:a35e:1:2:6212:e0ac,Maharashtra,2021-12-11T06:12:44.697Z
